3000.0,2007-05-19
1500.0,2007-06-03
2237.4,2007-06-23
1620.0,2007-06-28
1890.0,2007-06-30
1830.0,2007-08-12
1965.0,2007-08-17
2040.6,2007-09-17
1820.3999999999999,2007-09-20
1680.0,2007-09-23
1710.0,2007-10-15
2217.0,2007-11-27
2217.0,2007-12-06
2217.0,2007-12-26
2699.4,2008-01-12
2333.4,2008-02-03
1926.6,2008-03-30
1950.0,2008-06-05
2010.0,2008-06-05
2699.4,2008-07-02
1980.0,2008-07-21
1920.0,2008-08-07
1980.0,2008-09-13
2340.0,2008-10-06
2457.0,2008-11-29
2457.0,2009-03-13
1977.0,2009-03-31
2772.5600000000004,2009-04-26
1980.0,2009-06-11
2457.0,2009-06-16
2772.5600000000004,2009-08-09
2010.0,2009-09-25
2100.0,2009-10-17
1953.0,2009-11-04
2130.0,2010-04-17
2399.4,2010-07-11
2100.0,2010-08-21
2459.4,2010-08-30
3297.0,2010-09-07
1711.2,2010-11-07
2397.0,2010-11-29
2640.0,2010-12-19
2460.0,2011-03-11
3537.0,2011-05-25
3537.0,2011-05-25
2397.0,2011-05-30
2397.0,2011-05-30
2640.0,2011-08-28
2640.0,2011-08-28
2280.0,2011-10-06
2280.0,2011-10-06
2340.0,2011-12-03
2340.0,2011-12-03
3150.0,2011-12-17
3150.0,2011-12-17
2999.4,2011-12-25
2999.4,2011-12-25
1199.3999999999999,2012-02-05
1199.3999999999999,2012-02-05
2550.0,2012-02-06
2550.0,2012-02-06
2018.4,2012-03-07
2018.4,2012-03-07
1777.6000000000001,2012-05-02
1777.6000000000001,2012-05-02
2879.4,2012-07-06
2879.4,2012-07-06
2760.6,2012-09-24
2760.6,2012-09-24
3120.0,2012-09-25
3120.0,2012-09-25
2400.0,2012-12-01
2400.0,2012-12-01
2550.0,2012-12-14
2550.0,2012-12-14
3120.0,2012-12-18
3120.0,2012-12-18
3360.0,2013-01-10
3360.0,2013-01-10
2910.0,2013-04-01
2910.0,2013-04-01
1992.0,2013-04-23
1992.0,2013-04-23
2850.0,2013-08-29
2850.0,2013-08-29
3000.0,2013-08-30
3000.0,2013-08-30
3416.0000000000005,2013-09-06
3612.0000000000005,2013-09-06
3416.0000000000005,2013-09-06
3612.0000000000005,2013-09-06
3640.0000000000005,2013-09-20
3640.0000000000005,2013-09-20
1770.0,2013-10-09
1770.0,2013-10-09
3120.0,2013-10-24
3120.0,2013-10-24
3177.0,2014-01-28
3177.0,2014-01-28
1865.6000000000001,2014-06-15
1865.6000000000001,2014-06-15
3450.0,2014-07-01
3450.0,2014-07-01
